Unnamed: 0,CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction
15897,15898,24,1,41,10,1,29,2,2,690,26
61996,61997,63,1,46,1,9,16,2,1,884,6
30181,30182,57,0,53,4,7,23,2,0,526,12
57357,57358,47,0,25,11,6,18,1,1,280,19
46410,46411,37,0,12,2,7,13,2,0,219,16
17880,17881,26,1,18,18,2,10,2,1,282,15
18169,18170,20,0,50,24,5,11,1,1,760,3
29282,29283,24,0,23,4,5,16,0,0,359,10
53870,53871,60,1,26,4,9,10,2,2,341,12
58018,58019,65,0,27,23,1,24,0,2,347,18
5405,5406,50,1,52,9,1,13,2,2,181,8
34936,34937,44,1,19,9,3,30,2,2,993,5
34435,34436,26,0,14,21,1,20,1,1,640,5
17377,17378,49,0,52,7,1,7,2,1,270,13
21501,21502,51,1,15,26,6,20,2,0,488,25
53231,53232,30,0,33,13,6,26,1,1,497,24
52873,52874,54,1,46,17,5,27,2,1,565,3
45377,45378,28,0,51,21,2,20,1,0,196,11
57790,57791,59,0,26,26,7,29,2,0,483,11
55669,55670,59,1,59,5,7,13,0,2,650,30
1841,1842,33,1,18,27,10,30,0,1,971,18
50314,50315,43,0,24,21,9,25,2,1,497,21
21838,21839,35,1,6,5,0,3,0,2,278,15
63269,63270,53,1,32,6,9,20,2,2,518,17
35138,35139,20,1,18,9,6,12,0,1,188,3
39031,39032,41,0,24,21,5,20,1,2,974,12
26782,26783,24,0,19,5,10,11,2,1,321,29
5048,5049,40,0,17,6,4,22,0,1,115,19
15578,15579,44,0,54,17,1,15,0,2,509,26
9584,9585,65,0,9,24,7,12,2,2,206,3
34465,34466,34,0,14,4,3,26,2,0,616,15
11044,11045,36,0,8,10,8,8,2,0,194,28
5035,5036,53,1,41,9,2,4,2,1,298,17
11578,11579,31,0,27,7,8,24,0,1,126,8
8191,8192,38,1,47,21,9,6,0,2,621,21
27441,27442,42,0,40,4,9,20,2,0,502,2
29905,29906,52,0,51,1,3,25,0,2,309,27
17035,17036,39,0,6,28,9,22,0,2,172,18
6067,6068,54,1,32,15,7,1,0,2,487,15
5444,5445,40,0,9,23,6,29,1,0,203,13
36177,36178,32,1,42,9,5,11,2,1,814,7
54626,54627,40,0,34,8,3,29,1,1,898,10
57135,57136,49,1,27,16,6,26,0,0,386,6
51552,51553,57,0,51,2,1,24,1,1,840,14
36944,36945,38,1,39,9,5,29,2,1,978,14
23891,23892,46,1,12,5,6,21,2,1,925,25
33006,33007,54,0,22,11,10,23,1,1,294,26
54729,54730,35,1,44,13,5,21,1,2,625,17
43666,43667,26,1,47,15,0,16,1,1,421,20
59962,59963,59,1,28,14,5,25,2,0,377,3
2354,2355,40,0,10,26,7,24,2,0,963,28
34667,34668,48,0,21,18,5,16,2,0,509,1
49161,49162,41,0,17,30,5,22,1,2,228,11
7431,7432,52,0,31,12,0,29,2,2,659,6
63587,63588,45,1,44,2,7,19,1,0,442,17
47465,47466,36,1,52,25,6,21,2,0,496,22
29258,29259,59,0,18,13,0,17,2,2,822,14
33267,33268,51,1,25,8,2,1,1,1,477,13
63479,63480,26,0,48,17,9,30,1,0,619,1
57180,57181,25,1,54,14,7,29,1,1,485,11
44985,44986,34,0,23,24,5,2,1,2,479,13
17894,17895,41,0,36,21,1,23,0,0,979,20
15650,15651,38,0,13,11,8,3,0,1,715,17
4647,4648,36,1,55,4,9,27,1,0,425,21
9526,9527,28,1,60,23,8,28,1,0,393,2
48741,48742,31,0,12,4,0,24,0,0,222,3
33144,33145,20,0,17,24,0,15,2,1,955,29
35808,35809,54,1,36,4,3,30,0,0,958,21
36401,36402,60,0,55,5,10,6,1,0,360,15
21328,21329,29,1,58,9,9,4,2,1,545,27
38061,38062,43,1,50,23,2,14,2,2,157,16
34970,34971,35,1,28,2,4,22,2,0,900,25
45502,45503,46,0,55,10,1,3,2,1,323,4
55702,55703,55,1,48,15,9,27,2,0,546,25
22312,22313,47,0,41,4,3,1,2,0,246,29
42233,42234,55,1,2,10,7,10,0,0,388,29
1048,1049,48,0,25,8,9,12,2,2,451,16
9403,9404,45,1,37,30,6,10,1,2,529,24
53496,53497,63,1,47,1,4,24,1,2,741,1
12033,12034,37,1,11,27,2,1,0,2,925,9
53859,53860,60,1,39,30,6,29,1,2,236,9
51959,51960,49,1,57,4,10,16,0,2,979,22
50541,50542,25,1,39,7,10,28,0,1,499,27
40263,40264,32,0,13,15,1,30,2,2,465,5
59563,59564,64,0,32,22,9,27,0,1,723,1
11836,11837,51,1,25,30,9,25,1,1,665,4
20984,20985,25,0,51,13,8,25,1,1,346,30
1183,1184,53,0,13,25,6,30,0,1,449,7
53938,53939,41,1,30,19,7,17,2,0,967,15
905,906,51,0,19,9,0,21,1,2,938,3
41180,41181,53,0,34,4,1,14,0,2,375,10
57299,57300,65,0,58,17,1,29,1,2,120,7
31964,31965,22,0,24,25,10,17,2,1,897,12
32488,32489,21,0,12,8,8,6,1,0,571,6
9829,9830,34,1,24,5,9,14,1,0,510,9
36385,36386,48,1,20,6,3,5,2,1,931,25
5860,5861,37,1,9,2,6,9,2,0,264,19
34432,34433,59,1,39,23,5,16,2,1,334,24
54224,54225,18,0,49,20,1,27,1,1,916,19
9353,9354,20,0,22,3,9,22,0,1,789,27
27489,27490,48,0,56,8,4,0,2,1,480,23
5794,5795,31,0,25,29,7,22,2,2,313,20
28131,28132,47,0,43,2,4,18,0,1,577,10
833,834,57,0,9,26,9,10,1,0,416,24
28282,28283,58,0,37,3,0,27,0,1,366,5
63758,63759,26,1,58,21,6,16,1,1,642,24
39226,39227,38,0,22,25,6,5,1,1,946,7
18275,18276,40,0,56,23,1,29,0,2,431,1
56906,56907,49,1,57,29,7,26,1,0,384,1
24360,24361,56,1,10,21,8,9,2,0,562,21
29390,29391,43,1,43,7,8,16,1,1,147,11
47277,47278,34,0,50,17,6,22,0,2,902,14
19025,19026,39,1,39,22,2,22,1,2,853,26
7621,7622,51,1,38,25,6,18,1,0,768,5
28322,28323,42,1,41,12,7,30,2,0,530,7
1703,1704,20,1,23,17,1,12,0,1,436,3
63271,63272,48,1,34,20,6,25,2,1,110,17
23735,23736,35,0,22,15,6,19,1,0,535,7
11124,11125,19,0,32,20,1,16,2,1,985,24
44790,44791,38,1,47,3,5,14,0,1,600,15
31431,31432,25,0,43,26,4,21,1,0,787,21
59316,59317,28,0,47,11,7,26,1,2,554,19
60433,60434,30,1,35,2,5,19,2,1,288,15
45208,45209,28,0,22,24,3,6,0,0,208,29
59646,59647,45,1,1,1,8,9,1,0,395,1
58151,58152,43,0,25,18,10,17,0,1,538,23
45949,45950,62,1,29,17,7,21,0,0,221,18
55191,55192,53,0,21,12,10,28,1,1,869,14
11056,11057,44,0,33,29,7,19,2,1,316,30
31138,31139,52,0,54,29,3,0,1,2,869,29
4420,4421,61,1,56,16,4,1,1,1,404,14
55137,55138,55,0,57,26,6,19,0,1,432,1
23239,23240,47,0,55,21,4,27,2,2,880,27
49261,49262,56,0,40,10,9,24,2,1,791,21
30073,30074,26,0,13,20,9,11,2,2,372,10
42786,42787,58,0,49,10,5,9,1,2,936,24
8936,8937,39,0,54,23,2,28,0,2,232,16
204,205,27,1,29,30,4,3,0,0,258,18
1941,1942,20,1,11,5,0,4,0,2,743,11
60884,60885,56,0,28,15,9,21,0,1,790,13
34222,34223,46,1,38,11,0,29,1,1,749,3
55367,55368,21,0,59,25,5,21,0,0,307,19
12157,12158,44,1,22,1,9,0,1,2,472,11
19138,19139,18,1,6,25,10,18,2,0,285,29
31034,31035,23,0,28,5,5,3,0,1,480,26
30488,30489,51,1,56,17,2,2,2,2,969,20
34972,34973,59,1,3,9,4,18,0,1,813,12
60722,60723,57,0,6,2,3,17,2,0,340,30
38100,38101,28,0,57,22,10,25,0,1,658,12
28058,28059,57,1,14,6,5,16,0,0,176,22
45125,45126,45,0,54,4,4,18,0,2,102,7
57895,57896,59,0,56,10,5,27,0,2,434,23
44580,44581,57,1,3,12,8,21,1,0,150,14
29919,29920,20,1,19,22,10,4,2,0,296,23
41137,41138,51,0,58,16,10,10,2,1,186,21
14533,14534,44,1,6,9,3,14,0,2,658,10
46320,46321,62,0,55,16,8,23,2,1,132,27
49998,49999,38,0,44,25,9,28,0,2,185,2
54694,54695,35,1,25,12,10,28,0,0,460,22
27699,27700,18,0,20,24,8,1,1,0,731,23
38280,38281,54,0,53,24,2,29,1,2,420,26
1954,1955,49,0,42,23,7,19,2,1,261,10
28745,28746,22,0,27,22,6,29,0,0,864,9
33287,33288,20,0,14,13,4,29,1,1,630,18
57328,57329,54,0,19,4,8,13,0,1,931,11
59276,59277,56,0,33,29,0,27,0,2,109,17
63638,63639,49,0,58,3,7,27,1,0,100,9
56074,56075,18,0,41,24,1,24,2,2,266,28
21377,21378,38,0,7,10,8,30,1,1,681,11
39630,39631,62,1,35,17,2,9,1,2,851,23
37922,37923,38,1,56,30,2,27,1,0,710,6
48005,48006,39,1,28,28,7,17,0,1,281,8
8628,8629,59,1,3,1,0,22,1,0,583,1
10727,10728,37,0,24,16,5,3,1,1,196,28
54503,54504,43,1,33,2,7,21,0,0,254,2
20346,20347,20,0,4,5,4,30,2,0,472,17
43090,43091,55,1,2,17,10,6,2,2,516,21
19767,19768,55,0,5,22,3,19,2,0,565,12
60773,60774,44,0,23,30,7,26,2,0,153,26
27088,27089,64,1,27,18,0,16,2,1,993,1
45616,45617,22,1,28,3,9,13,2,0,892,23
7134,7135,62,1,31,23,0,17,1,1,249,28
11740,11741,24,1,24,21,7,10,2,2,929,12
49250,49251,47,1,56,23,9,18,2,0,379,23
48030,48031,30,0,13,11,3,27,0,2,115,5
4283,4284,34,0,20,26,5,4,2,0,958,4
58472,58473,59,0,54,17,4,28,0,0,413,3
13061,13062,32,0,56,13,0,15,1,1,355,20
52581,52582,29,0,25,2,2,22,1,0,456,18
3366,3367,65,0,30,25,3,8,0,0,235,3
60765,60766,25,0,39,14,6,16,1,1,298,29
63688,63689,53,0,27,12,8,30,2,0,281,14
26438,26439,42,1,54,8,0,15,1,2,670,7
29449,29450,31,0,41,16,1,3,0,0,899,24
33109,33110,51,1,60,27,7,21,1,2,903,19
42104,42105,29,0,30,7,7,11,1,1,180,4
35235,35236,50,1,35,10,6,22,1,2,391,5
31035,31036,51,0,41,17,5,14,1,0,797,18
62394,62395,54,0,23,30,9,22,1,1,190,20
27013,27014,63,0,52,1,10,20,0,2,766,22
59074,59075,39,0,53,11,6,16,1,2,507,19
32619,32620,29,0,57,9,7,12,1,0,755,26
52300,52301,31,1,51,25,6,26,1,1,733,16
1680,1681,64,1,54,8,2,15,2,2,933,2
32448,32449,47,0,19,10,3,6,0,2,630,30
50402,50403,37,1,32,6,5,22,1,2,849,9
43572,43573,26,0,29,5,4,0,0,1,253,10
34321,34322,25,1,9,16,10,0,1,1,301,24
6583,6584,26,0,27,1,8,19,0,1,222,8
57922,57923,50,1,33,20,6,25,0,1,958,30
4622,4623,37,0,50,10,1,19,1,1,681,27
56479,56480,63,0,37,28,7,24,2,2,807,8
12370,12371,34,0,13,23,4,18,0,1,684,27
38690,38691,38,0,49,11,8,10,2,1,549,13
50867,50868,57,1,53,1,10,21,0,1,314,5
43864,43865,48,1,60,13,0,17,0,1,912,21
41336,41337,53,1,42,5,9,2,0,2,631,19
23995,23996,40,1,8,25,5,3,1,1,809,21
28318,28319,64,0,36,13,0,22,2,2,250,13
14902,14903,34,1,54,9,5,14,2,2,903,18
34916,34917,48,0,12,3,2,7,1,2,551,22
12630,12631,42,0,50,2,8,6,1,0,678,5
13826,13827,32,0,21,28,4,4,1,1,153,29
62095,62096,55,0,23,4,5,20,2,1,806,8
22685,22686,18,1,42,21,8,30,1,0,160,5
33088,33089,44,1,15,12,5,9,0,0,328,19
6156,6157,51,1,48,9,8,23,0,2,283,29
12610,12611,41,1,56,13,3,4,0,0,493,30
8759,8760,25,1,44,17,6,17,0,0,907,9
20149,20150,65,1,29,4,9,4,1,2,524,6
18463,18464,41,1,50,13,6,21,0,0,880,17
22035,22036,59,0,58,18,6,26,1,2,307,4
39928,39929,24,1,59,23,10,14,0,0,266,8
25393,25394,37,0,43,14,3,23,1,2,243,1
58781,58782,26,0,17,14,3,26,1,2,307,28
63546,63547,42,0,60,22,8,30,1,0,401,29
29027,29028,59,0,1,19,1,1,1,2,293,18
48338,48339,55,0,35,30,7,21,2,2,450,10
15769,15770,44,1,54,23,2,30,2,2,484,16
40243,40244,35,1,24,27,7,25,0,1,527,13
21096,21097,45,0,9,2,10,26,0,1,225,18
5621,5622,60,0,21,30,2,11,0,2,519,27
47170,47171,33,0,6,29,8,29,2,1,623,22
23700,23701,27,0,8,19,1,20,1,2,234,6
11245,11246,28,1,48,2,9,1,1,0,586,1
55261,55262,33,0,2,29,5,22,0,1,699,6
15197,15198,45,0,2,27,3,7,0,0,214,25
41642,41643,20,1,22,30,7,9,0,2,761,21
11749,11750,27,1,50,15,1,26,2,1,280,3
63002,63003,61,1,54,22,8,28,0,0,191,27
55628,55629,48,1,26,10,9,16,2,2,142,5
52267,52268,23,1,38,16,7,18,2,0,693,16
11300,11301,20,1,34,20,8,9,0,2,485,12
14278,14279,36,0,60,25,1,13,0,2,450,24
21201,21202,26,0,10,17,9,25,1,1,308,7
20182,20183,45,0,7,16,4,13,0,2,280,11
26391,26392,54,0,19,25,3,19,2,0,357,21
39502,39503,22,0,14,15,0,12,1,2,322,5
13966,13967,58,1,59,18,1,16,2,1,946,21
2344,2345,22,0,45,20,8,1,2,1,829,30
58258,58259,29,0,29,13,9,19,2,1,843,13
8021,8022,54,1,8,18,3,16,0,2,160,28
17703,17704,47,1,53,9,5,17,0,0,637,12
10829,10830,52,0,4,30,7,13,2,0,611,13
27662,27663,53,1,12,29,9,23,2,0,520,21
33259,33260,46,0,11,22,4,4,2,0,370,10
61295,61296,55,1,54,2,9,9,0,2,755,1
39917,39918,41,0,50,15,1,9,1,0,462,6
63020,63021,21,1,30,13,7,21,2,0,142,9
4813,4814,54,1,26,2,5,7,1,2,370,22
33553,33554,24,0,2,3,10,9,0,2,585,15
47112,47113,36,0,49,23,8,18,1,1,615,1
5733,5734,30,0,44,30,0,17,1,1,928,10
38147,38148,59,0,24,6,7,21,0,2,543,29
51543,51544,19,0,31,13,8,28,2,1,110,16
29995,29996,57,1,60,27,1,8,1,0,971,26
49970,49971,43,0,32,8,9,24,0,0,945,21
60510,60511,33,1,39,26,10,22,1,1,568,19
26683,26684,29,0,38,26,6,8,0,1,215,4
27059,27060,35,0,49,9,5,12,2,1,650,23
56552,56553,19,0,33,30,4,22,2,1,105,17
14540,14541,34,0,39,16,9,3,1,1,792,18
30470,30471,22,0,52,17,1,29,1,0,845,30
43341,43342,61,0,10,29,2,23,1,1,818,10
3382,3383,54,0,7,28,4,9,1,2,967,20
629,630,24,1,44,12,9,28,1,0,935,9
21126,21127,34,1,43,19,2,16,1,1,724,22
32508,32509,47,0,33,8,8,13,0,0,164,7
41386,41387,64,0,25,24,4,27,1,0,268,10
59954,59955,50,0,3,15,10,26,1,2,165,28
43324,43325,26,1,17,9,4,28,0,2,912,12
60778,60779,63,0,60,30,5,25,2,0,682,12
9170,9171,27,1,17,15,10,2,1,1,663,29
42843,42844,50,0,43,26,8,29,0,0,921,10
44084,44085,41,0,38,18,8,17,1,2,801,18
22762,22763,50,0,48,18,4,23,0,1,313,12
581,582,55,0,26,21,8,15,0,2,710,3
20763,20764,59,1,48,29,10,13,1,0,847,26
35813,35814,48,0,23,29,7,29,1,1,332,9
61528,61529,41,0,52,15,7,22,2,0,445,28
53825,53826,33,0,36,12,9,21,2,0,196,8
48828,48829,56,1,2,5,10,1,1,0,292,20
14769,14770,44,1,58,21,4,5,0,0,215,7
16345,16346,42,1,51,21,2,19,2,1,140,9
26186,26187,46,1,25,5,4,7,1,1,646,2
8428,8429,52,0,42,1,7,7,1,1,943,29
59866,59867,18,0,59,20,5,22,1,1,474,25
12978,12979,44,1,56,18,6,18,1,0,385,20
53207,53208,55,0,25,3,9,20,2,2,525,30
45973,45974,52,1,43,5,5,22,0,2,223,26
51651,51652,26,1,57,7,7,30,1,1,696,12
5071,5072,49,1,31,15,3,1,2,0,232,30
26920,26921,40,0,20,14,6,9,0,2,978,29
63804,63805,58,0,9,5,6,9,0,0,916,25
19473,19474,63,1,32,14,6,12,0,2,423,6
34042,34043,23,1,36,2,4,8,1,2,548,11
60422,60423,23,0,47,7,6,25,1,2,597,1
1928,1929,42,0,14,14,1,19,2,2,982,1
40371,40372,48,1,14,19,8,5,0,0,572,3
45867,45868,50,0,38,5,10,20,2,1,264,9
49691,49692,40,0,58,21,10,30,0,2,788,27
18346,18347,60,0,34,20,4,8,0,1,508,7
19863,19864,27,0,55,27,10,28,2,1,937,11
16618,16619,34,1,45,20,2,1,2,0,296,13
21538,21539,46,1,56,25,1,15,0,2,559,15
25585,25586,18,1,46,29,2,14,0,0,327,15
64250,64251,63,1,25,21,9,29,2,1,781,29
460,461,46,1,30,29,5,10,1,0,447,30
16629,16630,19,0,17,1,9,23,2,0,931,7
61987,61988,59,1,27,1,10,8,1,0,534,6
49760,49761,29,0,49,27,6,17,1,2,944,30
40855,40856,61,1,1,5,10,25,2,2,557,12
44457,44458,60,0,17,4,10,9,2,2,747,23
62818,62819,45,0,39,5,5,27,0,2,944,28
1741,1742,59,0,59,9,0,12,2,0,255,17
41854,41855,50,1,8,28,6,5,1,1,873,21
58559,58560,40,1,57,12,9,17,0,0,385,3
21617,21618,61,1,44,11,8,25,0,0,343,3
23865,23866,29,0,55,10,9,10,0,1,567,8
15922,15923,49,0,35,16,0,27,0,1,873,9
8085,8086,48,1,10,1,1,15,2,2,271,2
62853,62854,49,0,55,30,3,21,1,2,180,11
6660,6661,23,1,32,10,4,28,2,1,380,22
32315,32316,55,1,31,5,9,29,0,0,613,21
46236,46237,28,1,26,22,9,23,0,2,868,2
12285,12286,25,0,20,3,3,22,0,2,832,17
22529,22530,62,1,8,29,10,23,0,1,691,22
45978,45979,45,1,40,17,5,27,0,1,693,19
56360,56361,41,1,48,21,8,21,1,1,987,14
8449,8450,37,0,2,3,3,24,1,2,628,19
13667,13668,44,0,46,3,10,5,1,2,429,2
23724,23725,39,0,29,5,9,28,1,1,943,14
60086,60087,43,0,32,29,4,21,2,1,918,27
47231,47232,54,1,33,21,6,18,1,0,534,29
19117,19118,53,0,47,24,4,26,1,2,453,3
1873,1874,35,0,39,16,10,25,2,2,105,27
55987,55988,62,0,52,14,6,20,1,1,955,11
39324,39325,44,0,42,2,3,1,1,1,334,21
40470,40471,45,0,45,28,4,27,1,2,434,2
22264,22265,48,1,55,17,1,23,2,2,926,28
15433,15434,28,1,27,21,4,7,0,1,356,26
62311,62312,57,1,37,7,9,16,0,1,185,26
11765,11766,37,1,58,26,3,25,0,0,205,22
7716,7717,21,1,49,17,4,17,2,0,307,13
11680,11681,45,0,18,22,8,27,2,2,130,23
53568,53569,27,1,56,19,10,22,0,0,638,1
23690,23691,60,0,26,28,8,23,0,2,915,5
42650,42651,42,1,32,9,2,13,0,2,354,15
14871,14872,65,1,38,29,8,25,1,1,360,23
62594,62595,55,0,48,5,9,19,2,2,632,14
15381,15382,18,1,30,19,4,3,0,2,655,19
58255,58256,63,1,3,2,3,0,1,0,807,20
53208,53209,43,1,1,2,4,16,0,1,898,8
6747,6748,20,1,14,6,9,8,1,1,670,17
13361,13362,34,1,40,16,5,10,1,0,917,18
25453,25454,48,1,46,19,1,19,2,1,302,3
28855,28856,41,1,57,11,10,21,1,2,306,20
25840,25841,53,1,18,7,6,12,0,0,753,1
23342,23343,65,1,42,30,4,4,2,2,586,2
38307,38308,21,1,28,3,5,24,1,2,551,26
46492,46493,39,0,1,9,10,24,0,2,490,22
39494,39495,31,1,55,13,4,22,1,0,194,23
49238,49239,39,1,9,1,10,21,2,0,191,14
15022,15023,50,1,34,3,3,11,0,0,971,9
9920,9921,28,1,25,6,3,5,1,1,467,7
22153,22154,20,1,22,14,10,8,0,1,767,22
14200,14201,24,0,48,3,2,13,0,1,459,13
21339,21340,52,0,20,2,10,18,1,2,765,16
15694,15695,35,1,43,8,1,29,0,2,835,26
61164,61165,42,1,40,2,8,30,1,1,957,16
63583,63584,64,1,24,18,8,18,2,2,288,29
11648,11649,53,1,43,17,1,22,1,1,937,16
29326,29327,19,0,59,5,5,29,1,1,824,4
54285,54286,39,0,38,4,5,28,1,2,609,23
51598,51599,35,0,14,2,1,11,1,0,257,4
13977,13978,44,1,26,17,7,5,1,0,205,14
61006,61007,19,1,54,16,7,30,0,1,804,14
6658,6659,39,0,53,14,10,16,0,2,634,27
37074,37075,25,1,36,28,3,26,1,0,699,17
30170,30171,26,1,29,1,4,8,1,1,275,28
57723,57724,61,0,48,29,8,21,1,2,659,9
59368,59369,45,0,33,7,10,29,1,1,317,12
55101,55102,42,0,3,27,5,26,0,1,355,9
36756,36757,62,0,21,5,3,2,1,2,650,19
36813,36814,36,0,49,23,2,17,2,0,495,3
18893,18894,54,1,39,27,9,21,0,0,435,23
1226,1227,60,0,11,8,5,22,1,0,923,26
2213,2214,50,0,29,11,3,25,1,2,332,27
15875,15876,41,0,26,15,6,2,2,0,832,26
5754,5755,57,0,48,30,2,15,1,1,114,4
26073,26074,47,1,15,18,3,13,0,0,140,30
57628,57629,47,1,58,6,5,16,0,2,979,11
26778,26779,54,1,44,13,6,24,1,1,181,8
21714,21715,33,1,59,10,5,12,1,1,877,22
48834,48835,47,0,47,7,3,30,2,0,131,22
44771,44772,29,1,38,2,5,3,2,2,285,30
23579,23580,50,0,58,23,2,10,2,2,358,1
41731,41732,30,1,59,13,3,14,1,2,808,30
54323,54324,54,1,53,9,9,24,0,0,586,6
49562,49563,34,1,55,2,10,26,2,1,878,15
50751,50752,45,0,19,16,1,23,1,0,418,19
53084,53085,61,0,53,19,9,17,2,0,801,18
61678,61679,51,0,10,5,8,17,1,2,721,14
52560,52561,55,1,51,5,7,6,2,1,725,23
41338,41339,54,1,4,25,0,19,1,0,411,19
60779,60780,32,0,39,24,5,18,2,0,929,28
10587,10588,20,1,7,6,7,26,2,1,917,5
49196,49197,60,0,1,3,1,8,0,2,664,8
48012,48013,53,0,49,7,7,29,1,1,524,3
49721,49722,60,0,28,10,7,17,2,0,801,17
4449,4450,38,1,58,18,9,12,1,1,986,27
